method,hour,electricity_cda_mwh,electricity_clearing_price,electricity_external_buy_mwh,electricity_external_sell_mwh,hydrogen_cda_mwh,hydrogen_clearing_price,hydrogen_external_buy_mwh,hydrogen_external_sell_mwh,minimum_voltage_pu,raw_voltage_cost
Fixed-penalty MAPPO,15,0.0,0.716468870639801,0.4873651123046875,9.352659271240235,0.25469729614257813,16.086984634399414,2.4067049865722656,0.21755734252929687,1.0,0.0
Fixed-penalty MAPPO,16,0.0,0.716468870639801,0.6316935424804687,8.313649719238281,0.20520376586914063,15.953052520751953,2.122524169921875,0.18609060668945313,0.9996676047371872,0.0
Fixed-penalty MAPPO,17,0.010754974365234374,0.47286689281463623,0.7381196899414062,6.493560791015625,0.19098675537109375,15.790833473205566,1.844674545288086,0.152743896484375,0.9990184528649949,0.0
Fixed-penalty MAPPO,18,0.31300653076171875,0.478853702545166,0.6007001953125,3.940943359375,0.20399029541015626,15.624981880187988,1.8158157348632813,0.12514614868164062,0.9967768536664553,0.0
Fixed-penalty MAPPO,19,0.0,0.478853702545166,0.900289794921875,1.9701370849609374,0.1752174072265625,15.414575576782227,1.7636097259521484,0.0883043212890625,0.9831142872918125,0.0
Fixed-penalty MAPPO,20,0.0,0.478853702545166,2.730622802734375,1.7213741455078124,0.16241036987304688,15.172956466674805,2.0041290283203126,0.03958526611328125,0.9686508977712829,0.0
Fixed-penalty MAPPO,21,0.0,0.478853702545166,3.9673279418945313,1.0353651123046874,0.12434207153320312,14.937567710876465,2.977267395019531,0.0,0.9539649695077177,0.0
Fixed-penalty MAPPO,22,0.0,0.478853702545166,3.8641829223632813,0.7657783203125,0.12048587036132813,14.70883560180664,2.9086666259765623,0.003211639404296875,0.953348312534135,0.0
Fixed-penalty MAPPO,23,0.0,0.478853702545166,2.963632141113281,0.896758544921875,0.24085238647460938,14.528553009033203,1.9891743774414063,0.10317971801757812,0.9622862381196882,0.0
Fixed-penalty MAPPO,24,0.0,0.478853702545166,2.298694763183594,1.40022265625,0.34195370483398435,14.38644790649414,1.1906756744384766,0.2058394317626953,0.9712788488264905,0.0
SGR-MACPO,1,2.171122314453125,0.2010444849729538,0.206603515625,0.0,0.3963341064453125,13.796985626220703,0.6082022705078125,0.6279443359375,0.9761908617658805,0.0
SGR-MACPO,2,1.416392547607422,0.1821082979440689,0.0,0.958363037109375,0.32830963134765623,11.12883186340332,0.2990731201171875,0.4335644836425781,0.9843585984326142,0.0
SGR-MACPO,3,1.14691552734375,0.16755078732967377,0.0,1.4527544097900391,0.19591488647460936,8.15810775756836,3.814697265625e-09,0.013921798706054688,0.9874721093194455,0.0
SGR-MACPO,4,1.0255716705322266,0.16000722348690033,0.0,1.7635621337890626,0.039157386779785155,27.554140090942383,0.63620703125,0.0,0.9898334415851411,0.0
SGR-MACPO,5,0.8927875061035156,0.15633563697338104,0.0,2.0005279541015626,0.0,27.554140090942383,1.1149846267700196,0.0,0.9916378762469659,0.0
SGR-MACPO,6,1.000839111328125,0.15493467450141907,0.0,2.78024755859375,0.0,27.554140090942383,1.4510477409362792,0.0,0.9958941609674564,0.0
SGR-MACPO,7,1.049486099243164,0.15440534055233002,0.0,2.817703369140625,0.0,27.554140090942383,1.6662148475646972,0.0,0.9954329606984336,0.0
SGR-MACPO,8,0.8170826416015625,0.3573942482471466,0.0,3.41310595703125,5.7220458984375e-09,3.8222758769989014,0.4778669052124023,0.0,0.9982328932441403,0.0
SGR-MACPO,9,0.8633692932128906,0.35826942324638367,0.0,4.90067578125,9.5367431640625e-09,3.716947317123413,0.21968298721313476,0.0,0.9987049137669624,0.0
SGR-MACPO,10,0.5595904846191406,0.35940879583358765,0.0,7.057516845703125,3.814697265625e-09,3.665192127227783,0.24908081436157226,0.0,0.9994117791773165,0.0
SGR-MACPO,11,0.2934904556274414,0.5692090392112732,0.0,8.7155888671875,2.288818359375e-08,28.94952964782715,0.6479229431152344,0.0,0.9999612933712702,0.0
SGR-MACPO,12,0.08982841110229492,0.5679091215133667,0.0,10.00455712890625,8.58306884765625e-09,3.7096657752990723,2.0076456565856935,0.0,1.0,0.0
SGR-MACPO,13,0.0,0.5679091215133667,0.0,10.901325714111328,0.0,3.7096657752990723,2.061736764907837,0.0,1.0,0.0
SGR-MACPO,14,0.0,0.5679091215133667,0.0,11.23576544189453,0.0,3.7096657752990723,1.8855992031097413,0.0,1.0,0.0
SGR-MACPO,15,0.0,0.5679091215133667,0.0,11.046746490478515,0.0,3.7096657752990723,1.897653890609741,0.0,1.0,0.0
SGR-MACPO,16,0.10603729248046875,0.3603717088699341,0.0,9.864527648925781,2.86102294921875e-09,3.807530403137207,1.705518238067627,0.0,1.0,0.0
SGR-MACPO,17,0.2904328308105469,0.36031943559646606,0.0,7.871123596191406,3.814697265625e-08,29.16307830810547,1.5302041625976563,0.0,0.9997291941790809,0.0
SGR-MACPO,18,0.6044595336914063,0.35952693223953247,0.0,5.07211587524414,3.719329833984375e-08,29.484031677246094,1.5215426330566406,0.0,0.998780554549376,0.0
SGR-MACPO,19,1.106143325805664,0.5667966604232788,0.0,2.039597839355469,2.86102294921875e-09,4.130427360534668,1.419965950012207,0.0,0.9887198121691186,0.0
SGR-MACPO,20,2.177672119140625,0.5671700239181519,0.2436390686035156,0.0,1.52587890625e-08,29.200759887695312,1.963201693534851,0.0,0.9730964776146108,0.0
SGR-MACPO,21,1.468943603515625,0.5665842294692993,2.272476806640625,0.0,0.0,29.200759887695312,3.2843294897079467,0.0,0.95801902763838,0.0
SGR-MACPO,22,1.2221619873046874,0.3594633936882019,2.4441859741210936,0.0,0.0,29.200759887695312,6.323610809326172,0.0,0.9572422358159713,0.0
SGR-MACPO,23,1.394767578125,0.359948992729187,1.3812841796875,0.0,0.0,29.200759887695312,5.921103668212891,0.0,0.9661908908391427,0.0
SGR-MACPO,24,1.960883056640625,0.15628549456596375,0.10318401336669922,0.0,0.0,29.200759887695312,4.2702490234375,0.0,0.9757952979816723,0.0
